,0
0,1.0
1,1.148698354997035
2,1.148698354997035
3,0.9330329915368074
4,1.0717734625362931
5,1.148698354997035
6,1.148698354997035
7,0.8705505632961241
8,1.148698354997035
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.2311444133449163
15,1.0
16,1.0717734625362931
17,1.3195079107728942
18,1.0
19,0.8705505632961241
20,0.8705505632961241
21,0.9330329915368074
22,0.8705505632961241
23,1.0717734625362931
24,0.9330329915368074
25,0.8122523963562356
26,0.9330329915368074
27,1.0717734625362931
28,1.0
29,0.8705505632961241
30,1.0
31,1.0
32,1.2311444133449163
33,1.0
34,1.0
35,1.0
36,0.8122523963562356
37,1.0
38,0.9330329915368074
39,1.0
40,1.2311444133449163
41,1.515716566510398
42,0.9330329915368074
43,1.148698354997035
44,0.9012504626108302
45,1.0717734625362931
46,1.0
47,1.0
48,1.0717734625362931
49,1.0
50,0.8122523963562356
51,1.0
52,1.0
53,1.0
54,1.0
55,0.9330329915368074
56,1.3195079107728942
57,1.0
58,1.148698354997035
59,0.8122523963562356
60,1.2311444133449163
61,0.9330329915368074
62,0.7071067811865476
63,1.148698354997035
64,1.0
65,1.0
66,1.0
67,1.2311444133449163
68,1.0
69,1.148698354997035
70,1.515716566510398
71,1.0
72,1.0717734625362931
73,1.0717734625362931
74,0.9330329915368074
75,0.9330329915368074
76,1.0
77,1.0
78,1.0717734625362931
79,1.0
80,1.4142135623730951
81,1.0717734625362931
82,0.9330329915368074
83,1.0
84,0.8122523963562356
85,1.0
86,1.0
87,1.0
88,1.0
89,1.0717734625362931
90,0.9330329915368074
91,1.148698354997035
92,1.148698354997035
93,1.0717734625362931
94,1.2311444133449163
95,1.2311444133449163
96,1.148698354997035
97,1.0717734625362931
98,1.148698354997035
99,1.0
100,0.8705505632961241
101,1.0
102,1.148698354997035
103,0.9330329915368074
104,1.0
105,1.0
106,1.0
107,1.0717734625362931
108,1.148698354997035
109,1.0717734625362931
110,1.0
111,0.8122523963562356
112,1.3195079107728942
113,1.0717734625362931
114,0.9330329915368074
115,0.6155722066724582
116,0.9330329915368074
117,1.3195079107728942
118,0.8705505632961241
119,1.0
120,0.9330329915368074
121,1.0
122,0.8705505632961241
123,0.9330329915368074
124,1.0717734625362931
125,1.0
